ID_DISCENTE;ANO_NASCIMENTO;PERIODO_INGRESSO;PERIODO_LETIVO;CAMPUS;CD_INEP;CURSO;CARGA_HORARIA_CURSO;TURNO;MODALIDADE;COTAS;SEXO;NACIONALIDADE;CIDADE_NAT;UF_NAT;LAT;LON
175500;1991;20081;20201;REITOR JOAQUIM AMAZONAS;13585;ENGENHARIA ELETRONICA;3660;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
177428;1990;20081;20201;REITOR JOAQUIM AMAZONAS;13588;ENGENHARIA QUIMICA;3885;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
184596;1978;20082;20201;AGRESTE;101082;ADMINISTRAÇAO -CAA;3000;MANHA;PRESENCIAL;AC;M;BRA;CARUARU;PE;-8.28139;-35.9735
201831;1988;20091;20201;REITOR JOAQUIM AMAZONAS;13610;ARQUITETURA E URBANISMO;3915;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
205660;1972;20092;20201;REITOR JOAQUIM AMAZONAS;20889;CIENCIAS BIOLOGICAS - LICENCIATURA;2655;NOITE;PRESENCIAL;AC;M;BRA;JABOATAO DOS GUARARAPES;PE;-8.1752476;-34.9468716
218217;1989;20102;20201;REITOR JOAQUIM AMAZONAS;13600;FARMACIA;3465;INTEGRAL;PRESENCIAL;AC;F;BRA;OLINDA;PE;-7.9986401;-34.8459552
219764;1991;20102;20201;REITOR JOAQUIM AMAZONAS;117394;CINEMA E AUDIOVISUAL;2720;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
222241;1988;20102;20201;REITOR JOAQUIM AMAZONAS;23912;RADIO  TV E INTERNET;2865;MANHA;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
222896;1989;20101;20201;REITOR JOAQUIM AMAZONAS;58854;ENGENHARIA DA COMPUTAÇAO;4065;INTEGRAL;PRESENCIAL;AC;M;BRA;PAULISTA;PE;-7.9340069;-34.868407
224934;1989;20101;20201;REITOR JOAQUIM AMAZONAS;13575;CIENCIAS SOCIAIS - BACHARELADO;2370;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
225921;1991;20102;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;M;BRA;NATAL;RN;-5.805398;-35.2080905
226757;1992;20102;20201;REITOR JOAQUIM AMAZONAS;13588;ENGENHARIA QUIMICA;3885;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
228439;1988;20111;20201;REITOR JOAQUIM AMAZONAS;13608;PSICOLOGIA;4080;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
203195;1988;20111;20201;REITOR JOAQUIM AMAZONAS;13608;PSICOLOGIA;4080;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
231818;1994;20111;20201;AGRESTE;118092;ENGENHARIA DE PRODUCAO - CAA;3765;INTEGRAL;PRESENCIAL;AC;M;BRA;LAJEDO;PE;-8.657914;-36.329336
231818;1994;20111;20202;AGRESTE;118092;ENGENHARIA DE PRODUCAO - CAA;3765;INTEGRAL;PRESENCIAL;AC;M;BRA;LAJEDO;PE;-8.657914;-36.329336
231875;1993;20111;20201;REITOR JOAQUIM AMAZONAS;21710;ENGENHARIA DE PRODUCAO;3270;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
232574;1990;20112;20201;REITOR JOAQUIM AMAZONAS;117386;GESTAO DA INFORMAÇAO;2790;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
232601;1989;20111;20201;VITORIA;101140;CIENCIAS BIOLOGICAS - CAV;3120;NOITE;PRESENCIAL;AC;F;BRA;VITORIA DE SANTO ANTAO;PE;-8.1209019;-35.2944858
232645;1991;20111;20202;REITOR JOAQUIM AMAZONAS;52249;GEOGRAFIA - BACHARELADO;2370;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
232767;1991;20112;20201;AGRESTE;101127;DESIGN - CAA;3210;NOITE;PRESENCIAL;AC;M;BRA;GAMELEIRA;PE;-8.579803;-35.384573
232812;1985;20111;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
232918;1991;20111;20201;REITOR JOAQUIM AMAZONAS;13595;CIENCIA DA COMPUTAÇAO - CIN;3495;INTEGRAL;PRESENCIAL;AC;M;BRA;JABOATAO DOS GUARARAPES;PE;-8.1752476;-34.9468716
233388;1990;20112;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
234021;1988;20112;20201;AGRESTE;118098;QUIMICA - LICENCIATURA - CAA;3210;NOITE;PRESENCIAL;AC;M;BRA;CACHOEIRINHA;PE;-8.4906364;-36.2338963
234135;1992;20111;20201;REITOR JOAQUIM AMAZONAS;13581;SERVICO SOCIAL;3100;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
234303;1993;20112;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;F;BRA;BEZERROS;PE;-8.2372132;-35.7558262
234961;1993;20112;20201;REITOR JOAQUIM AMAZONAS;13579;HISTORIA;2520;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
235263;1991;20111;20201;REITOR JOAQUIM AMAZONAS;13588;ENGENHARIA QUIMICA;3885;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
235510;1994;20112;20201;REITOR JOAQUIM AMAZONAS;13600;FARMACIA;3465;INTEGRAL;PRESENCIAL;AC;F;BRA;TIMBAUBA;PE;-7.5118822;-35.316076
235573;1992;20112;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;AC;F;BRA;PESQUEIRA;PE;-8.3574471;-36.6968238
235903;1993;20111;20201;REITOR JOAQUIM AMAZONAS;21710;ENGENHARIA DE PRODUCAO;3270;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
235975;1991;20111;20201;REITOR JOAQUIM AMAZONAS;13588;ENGENHARIA QUIMICA;3885;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
236075;1993;20112;20201;REITOR JOAQUIM AMAZONAS;44947;LETRAS PORTUGUESA - LICENCIATURA;3150;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
236097;1992;20111;20201;REITOR JOAQUIM AMAZONAS;13616;ENGENHARIA ELETRICA;3660;INTEGRAL;PRESENCIAL;AC;M;BRA;NAZARE DA MATA;PE;-7.7452689;-35.2286396
236226;1982;20112;20201;REITOR JOAQUIM AMAZONAS;21847;CIENCIAS SOCIAIS - LICENCIATURA;2310;NOITE;PRESENCIAL;AC;F;BRA;OLINDA;PE;-7.9986401;-34.8459552
237464;1989;20111;20201;REITOR JOAQUIM AMAZONAS;44947;LETRAS PORTUGUESA - LICENCIATURA;3150;NOITE;PRESENCIAL;AC;M;BRA;CAMARAGIBE;PE;-8.0213832;-34.9810768
237941;1976;20111;20201;AGRESTE;101086;CIENCIAS ECONOMICA - CAA;3000;NOITE;PRESENCIAL;AC;M;BRA;CARUARU;PE;-8.28139;-35.9735
238600;1992;20111;20201;REITOR JOAQUIM AMAZONAS;13616;ENGENHARIA ELETRICA;3660;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
238621;1994;20112;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;F;BRA;AFOGADOS DA INGAZEIRA;PE;-7.7481283;-37.6346614
238798;1991;20111;20201;REITOR JOAQUIM AMAZONAS;117382;ENGENHARIA DE ALIMENTOS;3855;INTEGRAL;PRESENCIAL;AC;F;BRA;JABOATAO DOS GUARARAPES;PE;-8.1752476;-34.9468716
239119;1992;20111;20201;REITOR JOAQUIM AMAZONAS;13587;ENGENHARIA DE MINAS;3900;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
239242;1990;20112;20201;REITOR JOAQUIM AMAZONAS;44992;CIENCIAS BIOLOGICAS - BACHARELADO;2835;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
239368;1981;20111;20201;REITOR JOAQUIM AMAZONAS;13583;ENGENHARIA CARTOGRÃFICA E DE AGRIMENSURA;3870;INTEGRAL;PRESENCIAL;AC;F;BRA;PAUDALHO;PE;-7.90287;-35.171639
239513;1992;20111;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
241052;1990;20112;20201;REITOR JOAQUIM AMAZONAS;13594;ESTATISTICA;2580;INTEGRAL;PRESENCIAL;AC;M;BRA;PAULISTA;PE;-7.9340069;-34.868407
241754;1991;20121;20202;REITOR JOAQUIM AMAZONAS;13584;ENGENHARIA CIVIL;3900;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
204281;1991;20121;20202;REITOR JOAQUIM AMAZONAS;13584;ENGENHARIA CIVIL;3900;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
241776;1985;20121;20201;REITOR JOAQUIM AMAZONAS;13619;MATEMATICA - LICENCIATURA;2370;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
178513;1985;20121;20201;REITOR JOAQUIM AMAZONAS;13619;MATEMATICA - LICENCIATURA;2370;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
248600;1988;20122;20201;AGRESTE;101127;DESIGN - CAA;3210;NOITE;PRESENCIAL;AC;F;BRA;QUIPAPA;PE;-8.8269434;-36.011622
248658;1993;20121;20201;VITORIA;101149;NUTRICAO - CAV;3315;MANHA;PRESENCIAL;AC;F;BRA;GAMELEIRA;PE;-8.579803;-35.384573
248840;1992;20121;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
248887;1993;20122;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;M;BRA;PETROLINA;PE;-9.3817334;-40.4968875
249186;1994;20122;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;MANHA;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
249336;1990;20122;20201;REITOR JOAQUIM AMAZONAS;1136142;SISTEMAS DE INFORMAÇAO;3000;TARDE/NOITE;PRESENCIAL;AC;M;BRA;JABOATAO DOS GUARARAPES;PE;-8.1752476;-34.9468716
249430;1994;20122;20201;REITOR JOAQUIM AMAZONAS;13600;FARMACIA;3465;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
249610;1993;20122;20201;AGRESTE;118100;MATEMATICA - LICENCIATURA - CAA;3000;NOITE;PRESENCIAL;AC;F;BRA;ALTINHO;PE;-8.4904095;-36.0607494
249662;1994;20122;20201;AGRESTE;118100;MATEMATICA - LICENCIATURA - CAA;3000;NOITE;PRESENCIAL;AC;F;BRA;AGRESTINA;PE;-8.4558021;-35.9442663
249768;1993;20122;20201;REITOR JOAQUIM AMAZONAS;21847;CIENCIAS SOCIAIS - LICENCIATURA;2310;NOITE;PRESENCIAL;AC;F;BRA;JABOATAO DOS GUARARAPES;PE;-8.1752476;-34.9468716
249830;1994;20121;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;MANHA;PRESENCIAL;AC;F;BRA;CAMARAGIBE;PE;-8.0213832;-34.9810768
